,score,num_params,num_trainable_params,error_type,error_message,error_traceback,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/umap_ncomp,config/umap_spread,config/umap_mdist,config/umap_neigh,config/umap_epochs,logdir,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std)
0,-0.1,-1,-1,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
",1699408529,False,1,360ad091,2023-11-08_01-55-29,3.2366623878479004,3.2366623878479004,212596,a4551403631c,172.17.0.2,3.2366623878479004,1,,219,0.48904964087316194,0.8016543718489877,75,335,360ad091,,,,,,,,,,,,,,,,,,
1,0.3176470588235294,-1,-1,,,,1699408592,False,1,243491af,2023-11-08_01-56-32,63.0225567817688,63.0225567817688,212596,a4551403631c,172.17.0.2,63.0225567817688,1,,54,1.7802642007764629,0.15152457291193655,117,284,243491af,0.30823529411764705,0.007058823529411768,0.2512682064966853,0.009057438279312222,0.2512682064966853,0.009057438279312224,0.3176470588235294,0.0,0.2998583796052226,0.0,0.2998583796052226,0.0,0.25882352941176473,0.0,0.2529987172400108,0.0,0.2529987172400108,0.0
2,-0.1,-1,-1,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
",1699408561,False,1,31b48142,2023-11-08_01-56-01,1.4802582263946533,1.4802582263946533,212836,a4551403631c,172.17.0.2,1.4802582263946533,1,,247,0.6772110145517809,1.166545204265264,145,373,31b48142,,,,,,,,,,,,,,,,,,
3,-0.1,-1,-1,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
",1699408563,False,1,b4a20807,2023-11-08_01-56-03,1.498417615890503,1.498417615890503,212836,a4551403631c,172.17.0.2,1.498417615890503,1,,256,0.023763003667715443,0.448618683334324,158,366,b4a20807,,,,,,,,,,,,,,,,,,
4,0.5411764705882353,-1,-1,,,,1699408654,False,1,b8f0b7de,2023-11-08_01-57-34,90.87322568893433,90.87322568893433,212836,a4551403631c,172.17.0.2,90.87322568893433,1,,147,1.723867819313154,0.15265138552230417,52,421,b8f0b7de,0.5120588235294117,0.008964559208310702,0.49552614692768443,0.00943646092072509,0.4955261469276843,0.009436460920725087,0.5411764705882353,0.0,0.5458448397928868,0.0,0.5458448397928869,0.0,0.4235294117647059,0.0,0.385607282349137,0.0,0.38560728234913705,0.0
5,-0.1,-1,-1,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
",1699408578,False,1,543ca825,2023-11-08_01-56-18,1.355377435684204,1.355377435684204,213011,a4551403631c,172.17.0.2,1.355377435684204,1,,192,1.0664535849741685,1.2334896576593255,127,247,543ca825,,,,,,,,,,,,,,,,,,
6,0.5058823529411764,-1,-1,,,,1699408695,False,1,9c297fa5,2023-11-08_01-58-15,114.56211543083191,114.56211543083191,213011,a4551403631c,172.17.0.2,114.56211543083191,1,,235,1.724076037083108,0.5064353605108045,56,584,9c297fa5,0.4897058823529412,0.009688040642353303,0.48816212698318456,0.009341292309380881,0.48816212698318456,0.0093412923093809,0.5058823529411764,0.0,0.5214976510847629,0.0,0.521497651084763,0.0,0.4294117647058823,0.0,0.39140846348862834,0.0,0.3914084634886283,0.0
7,-0.1,-1,-1,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
",1699408601,False,1,a40fd606,2023-11-08_01-56-41,1.458364725112915,1.458364725112915,212596,a4551403631c,172.17.0.2,1.458364725112915,1,,70,0.27411527762660515,0.9658629866034278,6,582,a40fd606,,,,,,,,,,,,,,,,,,
8,-0.1,-1,-1,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
",1699408603,False,1,8ff999a1,2023-11-08_01-56-43,1.4211668968200684,1.4211668968200684,212596,a4551403631c,172.17.0.2,1.4211668968200684,1,,253,0.03154242791565287,1.7046533243012458,11,205,8ff999a1,,,,,,,,,,,,,,,,,,
9,-0.1,-1,-1,<class 'ValueError'>,min_dist must be less than or equal to spread,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 2379, in fit
    self._validate_parameters()

  File ""/usr/local/lib/python3.10/site-packages/umap/umap_.py"", line 1750, in _validate_parameters
    raise ValueError(""min_dist must be less than or equal to spread"")
",1699408604,False,1,f6f6fc20,2023-11-08_01-56-44,1.3654158115386963,1.3654158115386963,212596,a4551403631c,172.17.0.2,1.3654158115386963,1,,246,0.20920650684016295,1.6223546642367728,58,340,f6f6fc20,,,,,,,,,,,,,,,,,,
